id,title,text,published_date,url
G5000-01,Aeris to Acquire IoT Business from Ericsson,"Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses, together with related assets, were to be transferred/acquired by Aeris. A later report says the acquired technologies support more than 100 million IoT devices for 9,000 enterprises across 190 countries. row 33 (2022-12-07 13:45:00): Aeris to Acquire IoT Business from Ericsson | row 1746 (2023-01-10 06:19:00): Aeris to acquire IoT business from Ericsson | row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT Link the announcement/transfer language in the earlier reports to the later acquired-state report, then aggregate the scale figures. Full credit requires both asset names and all three scale figures; do not treat the three reports as three separate acquisitions.",2022-12-07,"[""https://www.benzinga.com/pressreleases/22/12/b29992210/aeris-to-acquire-iot-business-from-ericsson"", ""https://electricenergyonline.com/article/energy/category/mergers-acquisitions/58/998465/aeris-to-acquire-iot-business-from-ericsson.html"", ""https://www.iotevolutionworld.com/iot/articles/454653-leap-connectivity-aeris-acquires-technologies-from-ericsson-support.htm""]"
G5000-02,Aeris to Acquire IoT Business from Ericsson,"The first reports describe a planned transaction: Aeris was to acquire Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses/assets. The later January 18 report uses completed-state language ('Aeris has acquired'), indicating the event had progressed from planned transfer to acquired technologies. row 33 (2022-12-07 13:45:00): Aeris to Acquire IoT Business from Ericsson | row 1746 (2023-01-10 06:19:00): Aeris to acquire IoT business from Ericsson | row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT Compare verbs and dates across the three documents; infer only the state progression explicitly supported by wording. Penalize answers that say the acquisition was already completed on Dec. 7 solely because the title says ""to Acquire"".",2022-12-07,"[""https://www.benzinga.com/pressreleases/22/12/b29992210/aeris-to-acquire-iot-business-from-ericsson"", ""https://electricenergyonline.com/article/energy/category/mergers-acquisitions/58/998465/aeris-to-acquire-iot-business-from-ericsson.html"", ""https://www.iotevolutionworld.com/iot/articles/454653-leap-connectivity-aeris-acquires-technologies-from-ericsson-support.htm""]"
G5000-03,A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT,"More than 100 million IoT devices, 9,000 enterprises, and 190 countries. row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT Read all three scale values from the same evidence record. All three numbers must be correct; no partial invention.",2023-01-18,"[""https://www.iotevolutionworld.com/iot/articles/454653-leap-connectivity-aeris-acquires-technologies-from-ericsson-support.htm""]"
G5000-04,Aeris to Acquire IoT Business from Ericsson,"The recurring businesses are Ericsson IoT Accelerator and Connected Vehicle Cloud. The reports describe the same Aeris–Ericsson transfer/acquisition across different dates/sources, so they should resolve to one underlying transaction with evolving status, not multiple independent deals. row 33 (2022-12-07 13:45:00): Aeris to Acquire IoT Business from Ericsson | row 1746 (2023-01-10 06:19:00): Aeris to acquire IoT business from Ericsson | row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT Identify repeated assets and connect the reports as syndicated/follow-up coverage of one transaction. Full credit requires explicit event deduplication reasoning.",2022-12-07,"[""https://www.benzinga.com/pressreleases/22/12/b29992210/aeris-to-acquire-iot-business-from-ericsson"", ""https://electricenergyonline.com/article/energy/category/mergers-acquisitions/58/998465/aeris-to-acquire-iot-business-from-ericsson.html"", ""https://www.iotevolutionworld.com/iot/articles/454653-leap-connectivity-aeris-acquires-technologies-from-ericsson-support.htm""]"
G5000-05,Aeris to Acquire IoT Business from Ericsson,"Ericsson -> (IoT Accelerator and Connected Vehicle Cloud transferred/acquired by) Aeris -> supports/connects more than 100 million IoT devices for 9,000 enterprises across 190 countries. row 33 (2022-12-07 13:45:00): Aeris to Acquire IoT Business from Ericsson | row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT The answer must traverse from seller/assets to acquirer and then to deployment scale. Do not stop at naming Aeris; include the scale endpoint.",2022-12-07,"[""https://www.benzinga.com/pressreleases/22/12/b29992210/aeris-to-acquire-iot-business-from-ericsson"", ""https://www.iotevolutionworld.com/iot/articles/454653-leap-connectivity-aeris-acquires-technologies-from-ericsson-support.htm""]"
G5000-06,ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT,"In May, ServiceNow partnered with NVIDIA to build enterprise-grade generative AI for workflow automation. In June, ServiceNow introduced Now Assist for Virtual Agent for conversational self-service. In late July, ServiceNow, NVIDIA, and Accenture launched AI Lighthouse to accelerate enterprise generative-AI adoption. row 746 (2023-05-17 18:58:00): ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT | row 1742 (2023-06-13 13:50:00): ServiceNow Unveils Generative AI Solution With Real-Time Conversational Experiences For Self-Service | row 1726 (2023-06-13 18:12:00): ServiceNow extends its AI capabilities with Now Assist for Virtual Agent | row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises Order events by date and distinguish product capability from partner program. Full credit requires May partnership, June Virtual Agent, and July AI Lighthouse.",2023-05-17,"[""https://www.tmcnet.com/usubmit/2023/05/17/9816504.htm"", ""https://www.benzinga.com/markets/equities/23/06/32831350/servicenow-unveils-generative-ai-solution-with-real-time-conversational-experiences-for-self-ser"", ""https://siliconangle.com/2023/06/13/servicenow-extends-ai-capabilities-now-assist-virtual-agent/"", ""https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/""]"
G5000-07,ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value,"ServiceNow expanded the Now Assist feature set with case summarization and text-to-code inside its workflow platform, while separately joining NVIDIA and Accenture to launch AI Lighthouse, an enterprise generative-AI adoption program. row 1435 (2023-07-26 20:30:00): ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value | row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises Keep internal product features separate from external partnership/program edges. Penalize answers that claim Accenture co-developed case summarization or text-to-code.",2023-07-26,"[""https://technews.tmcnet.com/news/2023/07/26/9854808.htm"", ""https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/""]"
G5000-08,ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT,NVIDIA is ServiceNow's generative-AI technology partner and later co-launch partner for AI Lighthouse; Accenture joins ServiceNow and NVIDIA in AI Lighthouse; Deloitte later expands its alliance with ServiceNow to integrate Now Assist generative-AI capabilities with next-generation managed services. row 746 (2023-05-17 18:58:00): ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT | row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises | row 411 (2023-10-26 01:46:00): Deloitte and ServiceNow Expand Alliance to Integrate Now Assist Generative AI Capabilities With Next-Generation Managed Services Aggregate partner edges across time while keeping each partner role distinct. All three external organizations and their distinct roles are required.,2023-05-17,"[""https://www.tmcnet.com/usubmit/2023/05/17/9816504.htm"", ""https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/"", ""https://www.businesswire.com/news/home/20231025715145/en/Deloitte-and-ServiceNow-Expand-Alliance-to-Integrate-Now-Assist-Generative-AI-Capabilities-With-Next-Generation-Managed-Services""]"
G5000-09,ServiceNow Unveils Generative AI Solution With Real-Time Conversational Experiences For Self-Service,"A single ServiceNow product event: Now Assist for Virtual Agent extends ServiceNow's generative-AI capabilities for conversational/self-service experiences, using the ServiceNow Generative AI Controller and returning information in formats such as text, links, images, video, or relevant knowledge-base excerpts. row 1742 (2023-06-13 13:50:00): ServiceNow Unveils Generative AI Solution With Real-Time Conversational Experiences For Self-Service | row 1726 (2023-06-13 18:12:00): ServiceNow extends its AI capabilities with Now Assist for Virtual Agent Merge the two same-day descriptions into one canonical product event and union non-conflicting details. Penalize double-counting as two separate product launches.",2023-06-13,"[""https://www.benzinga.com/markets/equities/23/06/32831350/servicenow-unveils-generative-ai-solution-with-real-time-conversational-experiences-for-self-ser"", ""https://siliconangle.com/2023/06/13/servicenow-extends-ai-capabilities-now-assist-virtual-agent/""]"
G5000-10,Knowledge 2023 - ServiceNow looks beyond general purpose generative AI to domain-specific use cases,"At Knowledge 2023, ServiceNow emphasized domain-specific generative-AI/LLM use cases; in June it introduced Now Assist for Virtual Agent; by July it expanded Now Assist with case summarization and text-to-code across workflow offerings. row 752 (2023-05-18 00:32:00): Knowledge 2023 - ServiceNow looks beyond general purpose generative AI to domain-specific use cases | row 1742 (2023-06-13 13:50:00): ServiceNow Unveils Generative AI Solution With Real-Time Conversational Experiences For Self-Service | row 1435 (2023-07-26 20:30:00): ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value Connect strategy -> product -> feature expansion. Answers should preserve chronology and not reverse the feature sequence.",2023-05-18,"[""https://diginomica.com/knowledge-2023-servicenow-looks-beyond-general-purpose-generative-ai-domain-specific-use-cases"", ""https://www.benzinga.com/markets/equities/23/06/32831350/servicenow-unveils-generative-ai-solution-with-real-time-conversational-experiences-for-self-ser"", ""https://technews.tmcnet.com/news/2023/07/26/9854808.htm""]"
